Transaction ID,Branch,Product ID,Qty,Unit Price,Sale Date,Payment
1,Lekki,1,5,297.14,2026-08-02,card
2,Ikeja,18,2,688.57,2026-08-01,cash
3,Ikeja,8,1,741.2,2026-08-06,card
4,Lekki,14,4,222.46,2026-08-03,cash
5,Surulere,6,7,868.05,2026-08-02,card
6,Yaba,11,2,798.09,2026-08-01,transfer
7,Surulere,20,5,901.34,2026-08-06,cash
8,Victoria Island,13,2,2048.42,2026-08-07,card
9,Lekki,12,4,529.26,2026-08-01,card
10,Ikeja,10,2,509.81,2026-08-07,cash
11,Victoria Island,15,6,676.43,2026-08-03,card
12,Lekki,3,3,,2026-08-02,card
13,Victoria Island,9,4,644.13,2026-08-07,cash
14,Ikeja,2,6,297.08,2026-08-01,card
15,Yaba,19,6,947.84,2026-08-04,cash
16,Surulere,15,3,693.04,2026-08-02,card
17,Lekki,9,7,673.45,2026-08-04,transfer
18,Ikeja,5,8,204.55,2026-08-01,cash
19,Ikeja,6,7,919.28,2026-08-04,cash
20,Lekki,15,5,807.8,2026-08-07,cash
21,Lekki,4,5,178.82,2026-08-03,cash
22,Ikeja,6,8,800.65,2026-08-06,card
23,Ikeja,17,3,1239.61,2026-08-01,card
24,Ikeja,17,4,,2026-08-07,card
25,Victoria Island,17,1,1264.71,2026-08-04,cash
26,Ikeja,12,5,476.94,2026-08-02,cash
27,Yaba,3,8,385.28,2026-08-07,cash
28,Surulere,5,8,247.34,2026-08-02,transfer
29,Victoria Island,20,7,930.82,2026-08-05,card
30,Lekki,10,7,524.49,2026-08-06,transfer
31,Victoria Island,17,8,1133.28,2026-08-02,cash
32,Victoria Island,19,4,1032.4,2026-08-01,cash
33,Lekki,2,4,274.55,2026-08-01,transfer
34,Ikeja,8,5,758.71,2026-08-02,cash
35,Ikeja,19,8,954.67,2026-08-04,cash
36,Ikeja,4,7,,2026-08-04,cash
37,Surulere,2,2,274.09,2026-08-06,transfer
38,Surulere,4,4,157.18,2026-08-05,cash
39,Ikeja,6,5,892.53,2026-08-07,cash
40,Victoria Island,18,2,607.59,2026-08-05,cash
41,Yaba,8,3,716.04,2026-08-04,card
42,Surulere,2,3,295.58,2026-08-04,transfer
43,Yaba,15,5,718.74,2026-08-06,cash
